start date ;end date   ;country              ;city               ;url                                          ;location link ;title
2025-01-17 ;2025-01-19 ;Singapore            ;Singapore          ;https://artsg.com                            ;loclink       ;Art SG
2025-01-22 ;2025-01-26 ;UK                   ;London             ;https://londonartfair.co.uk                  ;loclink       ;London Art Fair
2025-01-24 ;2025-01-26 ;France               ;Paris              ;https://www.art3f.com                        ;loclink       ;art3f Paris
2025-01-26 ;2025-02-02 ;Belgium              ;Brussels           ;https://www.brafa.art                        ;loclink       ;BRAFA art fair
2025-01-30 ;2025-02-02 ;Marrocco             ;Marrackech         ;https://www.1-54.com/marrakech/              ;loclink       ;1-54 Marrackech
2025-01-30 ;2025-02-02 ;Switzerland          ;Geneva             ;https://www.artgeneve.ch                     ;loclink       ;artgenève
2025-01-31 ;2025-02-02 ;Denmark              ;Herning            ;https://www.artherning.dk/                   ;loclink       ;Art Herning
2025-01-31 ;2025-02-02 ;Italy                ;Bologna            ;https://www.artefiera.it                     ;loclink       ;Arte Fiera
2025-02-05 ;2025-02-09 ;Belgium              ;Brussels           ;https://affordableartfair.com/fairs/brussels ;loclink       ;The Affordable Art Fair Brussels
2025-02-05 ;2025-02-09 ;Mexico               ;Mexico City        ;https://zsonamaco.com                        ;loclink       ;ZONAMACO México Arte Contemporáneo
2025-02-06 ;2025-02-09 ;India                ;New Delhi          ;https://indiaartfair.in                      ;loclink       ;India Art Fair
2025-02-07 ;2025-02-09 ;France               ;Aussonne           ;https://www.art3f.com                        ;loclink       ;art3f Toulouse
2025-02-19 ;2025-02-23 ;United States        ;Los Angeles        ;https://www.laartshow.com                    ;loclink       ;LA ART SHOW
2025-02-20 ;2025-02-23 ;Germany              ;Karlsruhe          ;https://www.art-karlsruhe.de                 ;loclink       ;art KARLSRUHE
2025-02-20 ;2025-02-23 ;Turkey               ;Ankara             ;https://www.artfairankara.com                ;loclink       ;ARTANKARA
2025-02-20 ;2025-02-23 ;Australia            ;Melbourne          ;https://melbourneartfair.com.au              ;loclink       ;Melbourne Art Fair
2025-02-21 ;2025-02-23 ;South Africa         ;Kapstadt           ;https://www.investeccapetownartfair.co.za    ;loclink       ;Investec Cape Town Art Fair
2025-02-28 ;2025-03-02 ;France               ;Strasbourg         ;https://www.art3f.com                        ;loclink       ;art3f Strasbourg
